,0
ProtonStd_0_std1h_lag36,17.0
ProtonStd_0_mean1h_lag12,17.0
ElectronStd_3_std1h_lag6,17.0
ProtonStd_9_std1h_lag144,17.0
ProtonStd_7_std1h,17.0
ElectronMean_0_lag36,17.0
ProtonStd_2_mean1h_lag72,17.0
ElectronMean_5_std1h_lag72,17.0
ElectronStd_5_std1h_lag12,17.0
ProtonStd_5_mean1h_lag144,17.0
BZ_GSE_std1h_lag12,17.0
ProtonMax_9_std1h_lag144,17.0
ElectronStd_1_mean1h_lag36,17.0
ProtonStd_0_std1h_lag144,17.0
ElectronStd_3_std1h_lag144,17.0
ElectronMax_0_lag12,16.0
ElectronStd_6_std1h_lag36,16.0
proton_density_std1h_lag6,16.0
ProtonMean_4_lag72,16.0
ProtonMax_7_std1h_lag36,16.0
ProtonStd_2_lag144,16.0
ProtonStd_2_lag6,16.0
ElectronMean_1_mean1h,16.0
ElectronMax_5_std1h_lag6,16.0
ProtonMean_4_std1h_lag6,16.0
ProtonStd_6_lag144,16.0
ProtonMax_4_std1h_lag36,16.0
ElectronMax_0_mean1h,16.0
ProtonStd_4_lag72,16.0
ElectronStd_2_std1h,16.0
ElectronMax_1_std1h,16.0
ProtonMean_6_lag72,16.0
ProtonStd_1_std1h_lag12,16.0
ProtonStd_0_std1h_lag72,16.0
ProtonMean_2_std1h_lag12,16.0
ProtonMax_2_std1h_lag36,16.0
ElectronMax_2_std1h_lag12,16.0
ProtonStd_2_std1h_lag72,16.0
ProtonMean_9_mean1h_lag6,16.0
ProtonMean_9_std1h_lag36,16.0
ElectronStd_7_mean1h,16.0
ElectronStd_6_mean1h,16.0
ProtonMax_6_std1h,16.0
ElectronStd_2_std1h_lag36,16.0
VBz_lag72,16.0
ElectronMax_1_mean1h_lag72,16.0
ProtonMax_1_std1h_lag6,16.0
ElectronStd_2_mean1h_lag72,16.0
ElectronMax_1_std1h_lag72,16.0
ProtonStd_1_mean1h_lag12,16.0
ProtonMean_6,16.0
ProtonStd_6,16.0
ElectronMax_0,16.0
ProtonMean_0_lag36,16.0
ElectronMean_1_lag72,15.0
ProtonMean_8_mean1h_lag144,15.0
ProtonMean_0_lag72,15.0
ProtonStd_0_lag6,15.0
ProtonStd_4,15.0
ElectronMax_8_mean1h_lag6,15.0
ElectronMax_7_lag36,15.0
ProtonMean_1_mean1h_lag36,15.0
ElectronMax_1_std1h_lag6,15.0
ElectronMax_1_std1h_lag12,15.0
ElectronMax_1_std1h_lag36,15.0
ProtonStd_6_std1h,15.0
ElectronMean_2_std1h_lag12,15.0
ElectronStd_2_mean1h_lag12,15.0
ProtonMean_10_mean1h_lag6,15.0
ElectronStd_1_lag36,15.0
ProtonMean_3_std1h_lag144,15.0
ElectronMean_0_mean1h_lag6,15.0
ElectronMax_3_std1h,15.0
ElectronMean_4_mean1h_lag36,15.0
ElectronMean_4_std1h_lag12,15.0
ProtonStd_4_mean1h_lag144,15.0
ProtonMax_4_std1h_lag6,15.0
ElectronStd_5_std1h_lag72,15.0
ElectronStd_5_mean1h_lag12,15.0
minute,15.0
ElectronMax_6_std1h_lag144,15.0
ElectronMax_5_std1h_lag144,15.0
ElectronMean_6_mean1h_lag36,15.0
ProtonMax_5_std1h_lag36,15.0
ElectronStd_2_lag12,15.0
ProtonMean_2_lag6,15.0
proton_density_mean1h,15.0
ElectronMean_7_mean1h_lag6,15.0
ElectronStd_0_mean1h_lag72,15.0
ElectronMean_6,15.0
ElectronMax_0_lag72,15.0
ProtonMean_2,14.0
ProtonMax_7,14.0
ProtonMean_9_std1h_lag72,14.0
ProtonMax_4,14.0
ElectronMax_6_lag72,14.0
ProtonMax_0_std1h_lag36,14.0
ElectronMax_0_mean1h_lag6,14.0
ElectronStd_0_mean1h_lag6,14.0
ProtonStd_1_mean1h,14.0
ProtonMax_8_std1h_lag144,14.0
ElectronMax_7_lag144,14.0
ProtonStd_1_std1h,14.0
ElectronMean_1_std1h_lag12,14.0
ElectronMean_1_mean1h_lag144,14.0
ElectronMax_1_mean1h_lag36,14.0
ElectronMax_4_std1h_lag6,14.0
ElectronMean_0_lag12,14.0
ProtonStd_0_mean1h_lag6,14.0
ProtonMean_10_mean1h_lag12,14.0
ElectronStd_2_mean1h_lag6,14.0
ProtonStd_3_mean1h,14.0
ProtonMean_4_std1h,14.0
ProtonMean_6_std1h,14.0
ProtonMean_2_mean1h_lag144,14.0
ElectronMax_4_mean1h_lag36,14.0
ProtonStd_4_std1h_lag144,14.0
ElectronStd_5_lag36,14.0
ProtonStd_9_std1h_lag72,14.0
ProtonMean_4_mean1h_lag144,14.0
ElectronStd_3_lag144,14.0
ElectronMax_1_lag6,14.0
ElectronMean_2_lag72,14.0
ProtonMean_7_mean1h_lag72,14.0
ProtonMax_7_mean1h_lag72,14.0
ProtonMax_7_std1h_lag6,14.0
ProtonMean_8_mean1h_lag72,14.0
ElectronMean_7_mean1h_lag36,14.0
ElectronMax_7_mean1h_lag36,14.0
ProtonMean_8_mean1h_lag12,14.0
ProtonMax_2_lag144,14.0
ProtonMean_6_std1h_lag36,14.0
ProtonMean_10_std1h_lag36,14.0
ElectronStd_5_mean1h_lag36,14.0
ElectronStd_5_mean1h_lag72,14.0
ElectronMax_6_std1h_lag36,14.0
ElectronStd_3_std1h,14.0
ElectronMax_6_std1h_lag72,14.0
ElectronStd_6_mean1h_lag72,14.0
ElectronStd_3_lag6,14.0
ElectronMax_5_mean1h_lag144,14.0
ProtonMax_10_mean1h_lag144,14.0
ElectronStd_4_std1h_lag12,14.0
ProtonMax_7_lag72,14.0
ElectronStd_4_mean1h_lag6,14.0
ElectronStd_4_std1h_lag6,14.0
ProtonMean_4_std1h_lag72,14.0
ElectronMean_2_lag144,14.0
ElectronStd_2_lag6,14.0
ElectronStd_6_std1h_lag12,14.0
ElectronMean_2_mean1h,14.0
ProtonMean_2_std1h_lag36,13.0
ProtonMean_7_lag72,13.0
